VR [mV]; IR [mV];
1;399994;
0;399995;
1;399991;
1;399994;
0;399993;
1;399994;
0;97265;
1;399994;
1;399995;
1;399993;
1;4;
1;399993;
1;399994;
1;399994;
1;399951;
0;399991;
1;399995;
1;399993;
1;399992;
1;399993;
1;399993;
0;299998;
1;399994;
1;399993;
1;399994;
0;1318;
1;399994;
1;399993;
1;399991;
0;4;
1;399992;
1;399992;
1;399993;
1;399993;
1;399993;
0;399991;
1;399994;
0;399994;
1;399993;
1;399995;
0;199999;
0;399991;
1;399993;
1;399994;
0;302;
0;399993;
1;399992;
1;399993;
1;375000;
1;399994;
1;399993;
1;399991;
1;399994;
1;399994;
1;399991;
0;399995;
0;399994;
1;399994;
1;399993;
0;49999;
1;399994;
1;399991;
1;399995;
1;32;
1;399991;
1;399993;
0;399993;
1;399609;
1;399993;
1;399992;
1;399993;
1;399992;
1;399994;
1;399994;
0;399991;
1;399995;
1;399994;
1;399990;
0;350000;
1;399992;
1;399994;
1;399991;
0;5;
1;399993;
1;399991;
1;399993;
1;399987;
1;399992;
1;399993;
1;399993;
1;399991;
0;399994;
1;399992;
0;224999;
1;399991;
1;399993;
1;399994;
0;756;
1;399995;
1;399994;
1;399991;
0;399218;
1;399993;
1;399992;
1;399995;
1;399992;
1;399994;
1;399992;
0;399995;
0;399994;
1;399993;
0;399994;
0;99999;
1;399993;
1;399993;
1;399994;
1;10;
1;399990;
1;399994;
1;399993;
0;399804;
1;399994;
1;399993;
1;399991;
1;399995;
1;399993;
1;399995;
1;399995;
0;399993;
1;399996;
1;399993;
0;1422;
0;399994;
1;399991;
0;399995;
0;387500;
0;399992;
1;399994;
1;399994;
1;399987;
1;399994;
0;399993;
1;399994;
1;399991;
1;399993;
0;399995;
0;399996;
1;399996;
1;399993;
1;399991;
1;152;
1;399993;
1;399993;
0;399993;
1;375000;
1;399995;
1;399991;
1;399993;
1;399993;
1;399990;
1;399993;
1;399993;
1;399994;
1;399992;
1;399995;
0;165624;
1;399990;
1;399994;
1;399993;
1;11;
1;399994;
1;399994;
0;399992;
1;399609;
1;399992;
1;399992;
1;399991;
1;399993;
0;399994;
1;399991;
1;399994;
1;399993;
1;399991;
1;399995;
0;321875;
1;399993;
1;399993;
1;399994;
0;300001;
0;399993;
1;399994;
1;399994;
1;399975;
0;399993;
0;399993;
1;399993;
0;399994;
1;399994;
1;399993;
1;399994;
0;399993;
1;399995;
0;399992;
0;10742;
1;399992;
1;399991;
0;399995;
0;350000;
1;399993;
1;399994;
1;399993;
1;399987;
0;399994;
1;399992;
1;399994;
1;399991;
0;399991;
0;399994;
0;149999;
1;399993;
1;399993;
1;399994;
0;527;
1;399995;
1;399993;
1;399991;
1;398437;
0;399994;
1;399991;
1;399994;
1;399994;
1;399992;
1;399993;
1;399994;
1;399995;
1;399990;
0;399992;
0;29492;
1;399992;
1;399994;
1;399993;
1;18;
1;399994;
0;399992;
1;399993;
1;399992;
1;399991;
1;399993;
1;399991;
0;399994;
1;399994;
1;399993;
1;399992;
1;399993;
1;399993;
0;399992;
0;17968;
1;399992;
1;399991;
1;399993;
1;399218;
0;399991;
1;399994;
1;399993;
0;399990;
1;399994;
1;399993;
1;399994;
1;399993;
1;399993;
1;399995;
0;174999;
1;399994;
1;399994;
1;399991;
0;3;
1;399993;
1;399990;
0;399993;
1;399218;
1;399994;
1;399992;
1;399993;
1;399994;
1;399992;
1;399996;
1;399993;
1;399989;
1;399995;
1;399994;
0;18749;
0;399993;
1;399994;
1;399993;
1;6;
1;399994;
1;399992;
1;399992;
1;399993;
0;399994;
1;399992;
1;399994;
1;399993;
1;399993;
1;399993;
0;262499;
0;399992;
1;399994;
1;399993;
0;2075;
1;399991;
1;399995;
1;399994;
0;3;
1;399992;
0;399993;
1;399993;
0;399992;
1;399993;
1;399995;
1;399992;
1;399995;
0;399995;
1;399992;
1;399992;
1;399993;
1;399994;
1;399991;
1;83;
0;399993;
1;399991;
1;399994;
1;399218;
0;399991;
1;399993;
1;399993;
1;399993;
1;399995;
1;399993;
1;399993;
1;399993;
1;399993;
1;399992;
0;49999;
1;399995;
1;399993;
0;399991;
0;200001;
0;399996;
1;399992;
1;399995;
1;399975;
1;399991;
1;399993;
1;399992;
0;399991;
1;399991;
1;399993;
0;312499;
1;399993;
1;399993;
1;399993;
0;73437;
1;399991;
0;399994;
1;399993;
1;5;
1;399994;
1;399994;
1;399989;
1;399994;
1;399993;
1;399993;
0;399993;
0;399994;
1;399992;
1;399993;
0;399999;
1;399994;
0;399992;
1;399996;
1;7;
1;399993;
1;399995;
0;399993;
1;398437;
1;399994;
1;399994;
1;399994;
1;399990;
1;399993;
1;399994;
1;399992;
0;399994;
1;399993;
0;399991;
0;34765;
1;399993;
0;399992;
1;399992;
1;18;
1;399993;
0;399992;
1;399993;
1;399987;
1;399990;
1;399994;
1;399995;
1;399993;
1;399992;
1;399995;
0;399996;
1;399992;
1;399993;
1;399995;
0;10742;
1;399994;
1;399992;
1;399991;
0;375000;
1;399994;
1;399993;
1;399992;
1;399993;
1;399994;
1;399992;
1;399994;
1;399992;
1;399990;
1;399994;
0;0;
1;399992;
1;399992;
1;399993;
1;19;
1;399994;
1;399994;
0;399993;
1;396875;
1;399994;
1;399995;
1;399993;
1;399993;
0;399993;
1;399994;
1;399995;
1;399992;
0;399993;
1;399990;
0;274999;
0;399993;
1;399992;
1;399994;
1;65;
0;399990;
1;399994;
1;399993;
1;399902;
1;399993;
1;399993;
1;399991;
0;399990;
1;399996;
1;399993;
1;399991;
1;399994;
1;399994;
1;399993;
0;40234;
1;399995;
1;399993;
1;399992;
1;300000;
1;399994;
1;399991;
0;399995;
1;399993;
1;399991;
1;399993;
1;399994;
1;399992;
1;399993;
1;399994;
0;181249;
1;399993;
1;399992;
1;399993;
0;2160;
0;399993;
1;399994;
1;399993;
1;393750;
1;399992;
1;399994;
1;399993;
0;399994;
1;399995;
1;399992;
1;399993;
0;399992;
1;399991;
1;399994;
0;137499;
1;399991;
0;399992;
1;399993;
1;4;
1;399992;
1;399996;
1;399993;
1;399987;
1;399995;
1;399993;
1;399991;
1;399993;
1;399993;
0;399993;
1;399991;
1;399994;
1;399993;
1;399992;
0;24218;
1;399993;
1;399991;
1;399996;
1;350000;
1;399991;
1;399993;
1;399992;
1;399951;
1;399992;
1;399994;
1;399994;
1;399991;
0;399993;
1;399995;
0;399999;
0;399994;
1;399994;
1;399993;
1;109;
1;399993;
1;399992;
1;399992;
1;398437;
0;399994;
1;399989;
1;399995;
1;399995;
0;399991;
1;399993;
0;399995;
1;399993;
1;399993;
1;399993;
0;43749;
1;399991;
1;399995;
1;399994;
1;17;
1;399994;
1;399994;
1;399991;
1;399975;
1;399993;
1;399994;
1;399993;
1;399994;
0;399992;
1;399991;
1;399995;
0;399994;
1;399991;
1;399993;
0;4467;
1;399994;
1;399992;
1;399994;
1;23;
1;399993;
1;399993;
1;399994;
1;399987;
1;399995;
0;399994;
1;399993;
1;399994;
1;399993;
0;399993;
0;187499;
1;399992;
1;399994;
1;399989;
0;10449;
1;399993;
1;399992;
1;399995;
0;387500;
0;399994;
0;399993;
0;399993;
0;399993;
1;399992;
1;399995;
1;399993;
1;399990;
0;399994;
0;399992;
0;78124;
0;399995;
1;399994;
1;399993;
1;8;
1;399997;
1;399994;
1;399991;
1;387500;
1;399993;
1;399991;
1;399993;
0;399994;
1;399993;
0;399993;
1;399994;
1;399993;
1;399993;
1;399994;
0;4272;
0;399990;
1;399996;
1;399994;
1;300001;
1;399994;
1;399993;
1;399993;
1;399609;
1;399992;
1;399993;
1;399991;
1;399994;
1;399994;
1;399991;
0;399993;
1;399994;
1;399993;
1;399994;
0;4248;
0;399992;
1;399991;
1;399994;
1;396875;
1;399991;
1;399994;
1;399994;
1;399991;
1;399995;
1;399993;
1;399994;
0;399992;
1;399994;
0;399994;
0;387499;
1;399993;
1;399993;
1;399992;
1;69;
0;399994;
1;399994;
1;399993;
1;393750;
0;399993;
1;399992;
1;399995;
0;399994;
1;399990;
1;399994;
1;399993;
1;399991;
1;399993;
1;399994;
0;353124;
1;399993;
0;399990;
1;399994;
1;5;
1;399993;
1;399993;
1;399993;
1;399804;
0;399993;
1;399992;
1;399995;
1;399994;
0;399993;
1;399992;
1;399993;
1;399994;
0;399992;
0;399994;
0;540;
1;399992;
0;399994;
0;399994;
1;398437;
0;399994;
0;399996;
1;399994;
1;399951;
1;399994;
1;399993;
1;399990;
1;399994;
1;399994;
1;399991;
0;399997;
1;399994;
1;399992;
1;399994;
1;17;
1;399994;
1;399991;
1;399994;
0;396875;
1;399992;
1;399993;
1;399993;
1;399993;
1;399993;
1;399994;
1;399994;
1;399992;
1;399995;
0;399994;
0;172656;
1;399994;
1;399994;
1;399990;
1;200002;
0;399994;
1;399992;
1;399994;
1;398437;
1;399994;
1;399991;
1;399992;
1;399993;
1;399991;
1;399995;
0;62499;
1;399991;
1;399994;
1;399994;
0;2185;
1;399992;
1;399994;
1;399994;
1;3;
1;399995;
1;399994;
0;399990;
1;399993;
1;399994;
0;399993;
1;399994;
1;399994;
1;399995;
1;399993;
0;342187;
1;399993;
1;399991;
1;399994;
0;36;
1;399991;
1;399994;
1;399993;
1;375000;
1;399994;
1;399993;
1;399995;
0;399991;
1;399993;
1;399994;
0;399991;
0;399994;
0;399993;
1;399993;
0;2221;
1;399995;
0;399992;
0;399994;
1;41;
1;399994;
1;399992;
1;399994;
1;399993;
1;399992;
1;399995;
1;399993;
1;399993;
1;399993;
1;399994;
0;99998;
1;399992;
0;399995;
1;399994;
0;521;
1;399993;
1;399996;
1;399992;
1;375000;
1;399994;
1;399992;
1;399995;
1;399993;
0;399994;
1;399992;
1;399993;
1;399994;
0;399991;
0;399994;
0;268749;
0;399992;
1;399995;
1;399994;
1;30;
1;399991;
1;399993;
1;399995;
1;398437;
1;399992;
1;399995;
1;399992;
1;399993;
1;399993;
1;399994;
0;399994;
1;399994;
1;399995;
1;399992;
0;340624;
1;399994;
1;399991;
1;399995;
1;2;
1;399993;
1;399991;
1;399994;
1;399902;
0;399992;
1;399995;
1;399994;
1;399991;
0;399995;
1;399993;
0;299997;
1;399995;
1;399993;
1;399992;
0;38867;
0;399995;
1;399993;
1;399990;
1;6;
1;399994;
1;399993;
1;399996;
1;399987;
1;399992;
1;399994;
1;399993;
1;399992;
1;399992;
1;399994;
0;299998;
1;399992;
1;399995;
1;399993;
1;9;
1;399994;
1;399993;
1;399993;
1;396875;
1;399995;
1;399994;
1;399992;
1;399992;
1;399995;
1;399993;
1;399993;
1;399994;
1;399991;
1;399995;
0;374999;
1;399994;
1;399992;
1;399994;
1;9;
1;399992;
1;399994;
1;399992;
1;398437;
1;399995;
0;399994;
0;399991;
0;399993;
0;399992;
0;399993;
1;399993;
1;399995;
1;399991;
1;399992;
0;334375;
1;399994;
1;399990;
1;399995;
0;387500;
0;399993;
0;399994;
1;399994;
1;399975;
1;399993;
1;399992;
1;399993;
1;399991;
1;399994;
1;399993;
0;224999;
1;399994;
1;399994;
1;399993;
1;349;
1;399994;
1;399995;
0;399993;
0;387500;
0;399992;
1;399992;
1;399994;
0;399993;
0;399992;
1;399993;
1;399995;
1;399994;
1;399993;
1;399993;
0;174999;
1;399992;
0;399994;
1;399994;
1;11;
1;399993;
0;399993;
1;399992;
0;399609;
1;399994;
1;399993;
1;399992;
1;399994;
0;399992;
0;399991;
0;199996;
0;399994;
1;399992;
1;399995;
0;39453;
1;399994;
1;399991;
1;399994;
1;5;
1;399991;
1;399993;
1;399994;
1;399804;
0;399994;
1;399993;
1;399992;
1;399994;
1;399992;
0;399993;
0;212499;
1;399994;
1;399995;
1;399992;
0;22167;
1;399993;
1;399992;
0;399995;
1;387500;
1;399992;
1;399992;
1;399993;
1;399994;
1;399992;
0;399994;
1;399994;
1;399991;
1;399993;
1;399994;
0;124999;
1;399994;
1;399993;
1;399996;
1;5;
1;399993;
1;399994;
1;399991;
1;387500;
1;399993;
1;399993;
1;399995;
1;399995;
1;399994;
1;399994;
0;399992;
1;399994;
1;399994;
1;399994;
0;12988;
1;399989;
1;399995;
0;399994;
1;350000;
1;399994;
1;399993;
1;399994;
1;399609;
1;399994;
0;399993;
1;399992;
1;399995;
1;399995;
1;399991;
0;99999;
1;399993;
0;399991;
1;399993;
0;1843;
1;399994;
1;399994;
1;399993;
0;4;
1;399992;
1;399995;
1;399994;
1;399991;
0;399993;
1;399994;
1;399993;
1;399994;
1;399992;
1;399995;
0;268749;
1;399994;
1;399994;
1;399992;
1;17;
1;399993;
1;399993;
0;399994;
1;399902;
1;399994;
1;399992;
0;399993;
0;399992;
1;399992;
0;399995;
1;399993;
1;399993;
1;399995;
1;399993;
0;8593;
1;399994;
1;399994;
1;399994;
1;300001;
1;399994;
1;399994;
1;399989;
1;399990;
1;399995;
1;399993;
0;399993;
1;399993;
1;399994;
0;399995;
1;399994;
1;399992;
0;399993;
1;399993;
0;10986;
1;399992;
1;399993;
1;399994;
1;398437;
1;399993;
1;399994;
1;399991;
1;399951;
1;399993;
0;399994;
1;399991;
1;399996;
1;399993;
1;399992;
0;128124;
1;399994;
0;399993;
1;399992;
0;187;
0;399992;
1;399992;
1;399995;
1;396875;
1;399990;
1;399994;
1;399994;
1;399992;
0;399994;
1;399993;
1;399993;
1;399993;
1;399995;
1;399994;
0;179687;
0;399995;
0;399993;
1;399992;
1;37;
1;399995;
1;399992;
1;399994;
0;396875;
1;399993;
1;399994;
1;399995;
1;399993;
1;399991;
0;399994;
0;199996;
1;399993;
1;399994;
0;399994;
0;11328;
1;399992;
1;399993;
1;399992;
1;387500;
1;399994;
0;399994;
1;399991;
1;399993;
1;399992;
0;399992;
1;399993;
1;399995;
1;399995;
1;399991;
0;99998;
1;399994;
0;399990;
1;399994;
0;643;
1;399993;
1;399992;
1;399993;
1;375000;
1;399992;
1;399994;
1;399994;
0;399992;
1;399994;
1;399995;
1;399991;
1;399995;
0;399994;
0;399993;
0;5468;
1;399992;
0;399994;
1;399993;
1;4;
1;399993;
0;399992;
1;399995;
1;399951;
1;399990;
1;399994;
1;399993;
1;399992;
1;399993;
1;399993;
0;399998;
1;399991;
1;399995;
1;399992;
0;433;
1;399994;
1;399995;
1;399993;
1;300000;
1;399993;
1;399994;
1;399993;
0;399804;
1;399993;
1;399993;
1;399994;
1;399993;
1;399990;
1;399994;
0;199997;
0;399992;
1;399993;
0;399994;
0;2014;
1;399993;
1;399993;
0;399993;
1;399804;
1;399995;
1;399994;
1;399991;
0;399993;
1;399993;
0;399993;
1;399993;
1;399993;
0;399992;
1;399994;
0;23730;
1;399993;
1;399992;
1;399996;
1;3;
1;399994;
1;399994;
1;399993;
1;399609;
1;399990;
1;399994;
1;399992;
1;399992;
1;399995;
1;399996;
1;399993;
1;399994;
1;399994;
0;399991;
0;576;
1;399992;
1;399992;
0;399990;
1;300001;
1;399993;
1;399992;
0;399994;
1;399987;
1;399990;
1;399994;
1;399993;
1;399992;
0;399992;
1;399993;
0;31249;
0;399991;
1;399994;
1;399992;
1;17;
1;399993;
1;399994;
1;399992;
0;375000;
0;399994;
1;399995;
1;399992;
1;399990;
0;399994;
1;399993;
1;399994;
1;399993;
1;399991;
1;399994;
0;124999;
1;399992;
1;399995;
1;399992;
1;10;
1;399991;
0;399994;
1;399993;
0;399804;
0;399995;
1;399994;
1;399993;
1;399995;
1;399994;
1;399995;
1;399993;
1;399995;
1;399993;
1;399992;
0;4418;
1;399995;
1;399993;
1;399995;
1;200002;
1;399991;
1;399994;
1;399993;
1;399951;
1;399992;
1;399993;
1;399994;
1;399991;
1;399994;
1;399993;
0;299998;
1;399994;
0;399992;
1;399992;
1;311;
1;399992;
0;399994;
1;399993;
1;300000;
1;399994;
1;399992;
1;399994;
1;399993;
1;399993;
0;399992;
1;399993;
0;399992;
1;399994;
1;399994;
0;99999;
1;399992;
1;399994;
1;399993;
0;491;
1;399995;
1;399995;
1;399992;
1;399609;
0;399994;
1;399995;
1;399993;
1;399995;
1;399992;
1;399991;
1;399995;
1;399994;
1;399992;
0;399995;
0;47656;
0;399994;
1;399993;
1;399993;
1;1;
1;399992;
1;399995;
1;399993;
1;399987;
1;399994;
1;399993;
1;399994;
0;399993;
0;399993;
1;399993;
1;399990;
1;399993;
0;399992;
0;399992;
0;1483;
1;399993;
1;399990;
1;399995;
1;350000;
1;399993;
1;399992;
1;399992;
0;399994;
1;399993;
1;399994;
1;399995;
1;399990;
1;399995;
1;399993;
0;343749;
1;399994;
1;399993;
1;399994;
1;41;
0;399993;
1;399994;
1;399992;
1;399951;
0;399993;
1;399992;
1;399994;
1;399993;
1;399992;
1;399992;
0;399993;
1;399993;
1;399994;
1;399994;
0;0;
1;399991;
1;399995;
1;399995;
1;300001;
1;399994;
1;399993;
0;399994;
1;399902;
1;399995;
1;399993;
1;399991;
0;399994;
1;399993;
1;399992;
0;312499;
0;399994;
