VR [mV]; IR [mV];
13;60;
13;59;
13;58;
13;58;
13;57;
14;58;
13;55;
13;59;
14;0;
0;51171;
13;57;
13;57;
14;58;
13;59;
13;58;
13;58;
13;58;
13;58;
13;59;
13;58;
14;58;
13;59;
13;48;
13;53;
0;226562;
13;58;
13;60;
13;59;
14;59;
13;58;
13;55;
13;58;
13;60;
13;54;
13;59;
13;57;
13;55;
13;0;
13;3553;
13;56;
14;56;
13;55;
13;58;
13;54;
13;56;
13;58;
14;55;
13;59;
13;58;
13;56;
13;58;
13;48;
13;55;
0;35937;
13;58;
13;59;
13;58;
13;56;
14;58;
14;56;
13;56;
13;57;
13;57;
13;58;
13;56;
14;58;
13;0;
0;61718;
14;59;
13;59;
14;58;
13;59;
13;58;
13;57;
13;59;
13;58;
13;58;
13;60;
13;59;
13;55;
13;0;
14;27;
0;300003;
13;59;
13;60;
13;59;
13;59;
14;58;
14;60;
14;59;
13;60;
13;58;
14;59;
13;56;
14;57;
13;14;
0;89453;
13;56;
13;57;
13;57;
13;56;
13;54;
14;56;
13;55;
14;57;
13;55;
14;57;
13;57;
13;56;
13;48;
13;890;
0;300003;
13;57;
13;56;
14;58;
13;57;
13;59;
13;57;
14;55;
13;60;
13;56;
13;57;
13;59;
13;58;
14;1;
12;115673;
13;57;
14;58;
13;57;
13;57;
13;58;
13;58;
13;60;
13;56;
13;57;
13;57;
14;58;
14;57;
13;0;
14;109;
0;225003;
13;56;
13;58;
13;60;
14;62;
14;60;
13;61;
13;61;
13;59;
13;58;
13;58;
13;58;
13;58;
14;0;
12;28759;
13;57;
13;58;
13;56;
13;58;
13;55;
14;56;
14;55;
13;56;
14;57;
13;56;
13;56;
13;55;
14;54;
13;3483;
0;375003;
13;55;
14;56;
13;57;
14;56;
14;57;
14;57;
13;58;
13;58;
13;58;
14;59;
13;60;
14;56;
13;7;
0;174218;
13;57;
13;57;
13;60;
13;59;
13;60;
13;57;
13;57;
13;56;
13;58;
14;57;
13;58;
13;58;
14;0;
13;54;
0;168750;
13;58;
14;58;
13;59;
13;57;
13;58;
13;57;
14;58;
14;61;
13;57;
13;58;
13;62;
13;59;
13;28;
12;113769;
13;60;
13;59;
13;59;
14;59;
13;59;
14;58;
14;58;
13;58;
14;59;
13;55;
13;58;
13;56;
14;54;
13;918;
3;100013;
14;56;
14;55;
14;56;
13;55;
13;55;
14;56;
13;55;
14;59;
13;55;
13;57;
13;59;
14;56;
13;0;
0;18750;
13;57;
13;60;
13;59;
13;57;
13;57;
13;58;
13;57;
14;57;
13;57;
13;58;
13;59;
13;59;
13;48;
13;448;
13;60;
14;58;
14;58;
13;58;
13;60;
13;58;
13;58;
13;57;
13;60;
14;57;
13;59;
13;59;
14;57;
13;55;
0;97656;
13;60;
13;60;
13;58;
13;60;
13;61;
13;60;
13;59;
13;58;
13;59;
13;58;
14;58;
13;60;
13;48;
13;14105;
3;200014;
13;58;
13;58;
14;55;
13;54;
13;57;
14;57;
13;53;
13;55;
13;55;
13;57;
14;56;
13;54;
13;0;
0;68359;
13;54;
13;56;
13;56;
14;57;
14;56;
14;59;
13;57;
13;58;
13;60;
13;60;
14;59;
14;58;
13;0;
12;28698;
14;57;
13;58;
13;59;
13;60;
13;57;
13;58;
14;60;
13;56;
13;57;
14;59;
14;59;
13;56;
13;58;
13;0;
0;65625;
13;57;
13;58;
14;60;
13;61;
13;60;
14;59;
14;57;
14;60;
13;60;
14;59;
13;60;
13;61;
13;0;
13;442;
0;150003;
13;55;
13;57;
13;58;
13;58;
13;56;
13;58;
14;57;
13;56;
13;58;
13;57;
13;56;
14;55;
13;28;
0;100000;
14;55;
13;55;
13;56;
13;56;
14;59;
14;57;
13;57;
13;57;
13;57;
13;58;
13;60;
13;57;
13;0;
13;1799;
6;200028;
13;59;
13;59;
14;57;
13;59;
13;58;
13;58;
14;58;
13;58;
13;59;
13;58;
13;57;
13;57;
13;3;
0;201562;
13;58;
13;59;
14;58;
13;58;
13;56;
13;59;
13;58;
14;57;
13;59;
13;59;
13;58;
13;59;
13;0;
13;1789;
13;60;
13;59;
13;59;
13;60;
13;60;
13;60;
13;57;
13;59;
13;58;
13;60;
13;57;
14;58;
13;55;
13;3;
0;31250;
13;59;
13;57;
13;55;
13;54;
13;55;
14;56;
13;55;
13;54;
13;57;
13;59;
13;60;
14;59;
14;0;
13;1753;
6;200029;
13;57;
14;57;
13;56;
13;59;
13;58;
14;58;
14;61;
14;57;
13;60;
13;59;
13;60;
13;57;
13;110;
0;87500;
13;58;
13;58;
13;59;
13;59;
13;59;
14;58;
14;59;
14;60;
14;57;
14;58;
13;58;
13;55;
13;0;
12;7156;
7;200029;
13;59;
13;59;
14;59;
13;60;
13;59;
13;59;
13;60;
13;59;
13;59;
14;60;
13;57;
13;48;
13;27;
3;200014;
13;58;
13;57;
13;58;
13;58;
13;59;
13;57;
13;54;
13;56;
13;56;
13;57;
13;56;
14;55;
13;0;
14;904;
13;54;
14;56;
14;57;
13;58;
13;58;
13;56;
13;57;
13;59;
14;57;
14;58;
13;58;
13;58;
13;48;
13;14;
0;175000;
14;58;
14;59;
13;58;
13;59;
14;56;
13;56;
13;56;
14;58;
14;59;
13;57;
13;57;
13;55;
13;3;
13;866;
6;200028;
14;59;
13;58;
14;59;
13;60;
14;61;
13;59;
13;58;
13;58;
13;59;
13;61;
13;60;
13;59;
13;13;
0;328125;
14;61;
13;58;
14;59;
13;57;
14;60;
13;60;
13;58;
13;57;
13;57;
14;57;
13;57;
13;57;
13;0;
14;3538;
13;60;
14;57;
14;55;
13;57;
13;57;
14;54;
13;59;
13;55;
13;55;
13;58;
13;58;
13;58;
13;48;
14;13;
0;375003;
13;57;
13;58;
13;59;
14;57;
14;58;
13;57;
13;56;
14;60;
13;58;
13;59;
14;59;
13;58;
13;0;
0;226074;
13;59;
13;57;
13;58;
14;58;
13;60;
13;59;
13;58;
13;57;
13;59;
14;60;
13;59;
14;59;
14;48;
13;109;
0;1;
13;59;
13;60;
14;58;
13;60;
13;58;
14;56;
13;58;
13;57;
13;59;
13;59;
14;58;
14;56;
13;3;
0;120703;
13;55;
13;57;
13;57;
13;55;
14;56;
13;57;
14;55;
13;57;
13;55;
13;54;
13;55;
13;56;
13;0;
13;27;
0;209375;
13;56;
13;58;
